"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.378,-2.5903,0.25439,1.1168,2.9283,0.048433,22.206,92.071,5.8682,0
9.2739,-1.4489,0.20662,0.66759,2.0706,0.041211,17.514,106.1,5.8858,0
8.7724,-0.32186,0.0284,0.49475,1.6852,0.037508,17.382,120.06,5.9092,0
8.7677,0.097547,-0.10322,0.47084,1.6369,0.03702,21.76,134.02,5.9031,0
8.6713,-0.066317,-0.11647,0.46494,1.6251,0.036894,24.069,147.98,5.8781,0
8.4889,-0.2638,-0.098655,0.43686,1.56,0.036183,23.481,161.95,5.8567,0
8.2962,-0.38292,-0.08704,0.39821,1.4653,0.035126,21.654,175.94,5.8407,0
8.1513,-0.42633,-0.076389,0.36092,1.3696,0.034029,19.201,189.95,5.8277,0
8.0412,-0.40587,-0.066522,0.33094,1.2885,0.033073,16.634,203.98,5.8222,0
7.9247,-0.34125,-0.057941,0.30861,1.2262,0.03232,14.131,218.02,5.829,0
7.7997,-0.26266,-0.048829,0.29221,1.1795,0.031745,11.271,232.07,5.847,0
7.6924,-0.18936,-0.033054,0.2794,1.1432,0.031291,7.6111,246.09,5.8674,0
7.5755,-0.080686,0.00013952,0.23462,1.618,0.069835,4.4822,260.09,5.8783,0
7.4959,-0.0434,0.040462,0.21031,1.926,0.11243,2.856,274.08,5.8902,0
7.5218,-0.010381,0.051458,0.19153,2.2298,0.15377,2.3548,288.07,5.9038,0
7.3996,-0.036607,0.046963,0.16991,2.0655,0.14848,1.7309,302.05,5.9161,0
7.2686,-0.06115,0.036471,0.1509,1.9116,0.14327,0.86531,316.02,5.9251,0
7.1941,-0.06504,0.028302,0.13936,1.8181,0.14011,0.36589,330,5.9299,0
9.9829,-0.18257,0.016414,0.20325,1.4664,0.066912,91.477,-20,20.058,0
9.8454,-0.82124,0.064779,0.18088,1.3571,0.064535,91.98,-5.8863,20.066,0
9.3195,-1.8571,0.088563,0.28521,1.1586,0.031511,95.147,8.2045,20.087,0
8.7115,-4.4316,0.095247,0.21511,0.95843,0.028864,93.392,22.251,20.188,0
-2.0018,1.5943,-0.3769,1.3587,2.9229,0.043054,15.984,49.699,20.296,0
-1.8431,-0.40337,-0.045344,1.9866,4.21,0.057306,42.328,63.752,19.954,0
5.5019,-8.1805,0.19197,1.2913,3.2116,0.050343,27.307,77.747,19.801,0
-1.6185,-0.68971,0.20618,0.32635,1.2321,0.032417,13.383,92.26,19.776,0
